602754, 1066222-003N, 1, Clearlink, 07/05/2026, 17:20:19,   8.0161, psig,   6.7706, psig,   0.0000, psig, Fail, Gross, NO RESULT 
602947, 1066222-003N, 1, Clearlink, 07/05/2026, 23:43:19,   7.9923, psig,   7.9813, psig,   0.0061, psig, Pass,  , Pass
602948, 1066222-003N, 1, Clearlink, 07/05/2026, 23:43:55,   7.9925, psig,   7.9772, psig,   0.0060, psig, Pass,  , Pass
602949, 1066222-003N, 1, Clearlink, 07/05/2026, 23:44:19,   7.9930, psig,   7.9821, psig,   0.0062, psig, Pass,  , Pass
602950, 1066222-003N, 1, Clearlink, 07/05/2026, 23:44:35,   7.9926, psig,   7.9820, psig,   0.0064, psig, Pass,  , Pass
602951, 1066222-003N, 1, Clearlink, 07/05/2026, 23:44:59,   7.9933, psig,   7.9830, psig,   0.0117, psig, Pass,  , Pass
602952, 1066222-003N, 1, Clearlink, 07/05/2026, 23:45:14,   7.9937, psig,   7.9832, psig,   0.0119, psig, Pass,  , Pass
602953, 1066222-003N, 1, Clearlink, 07/05/2026, 23:45:47,   7.9939, psig,   7.9836, psig,   0.0061, psig, Pass,  , Pass
602954, 1066222-003N, 1, Clearlink, 07/05/2026, 23:45:59,   7.9943, psig,   7.9838, psig,   0.0060, psig, Pass,  , Pass
602955, 1066222-003N, 1, Clearlink, 07/05/2026, 23:46:25,   7.9942, psig,   7.9770, psig,   0.0117, psig, Pass,  , Pass
602956, 1066222-003N, 1, Clearlink, 07/05/2026, 23:46:53,   7.9947, psig,   7.9782, psig,   0.0063, psig, Pass,  , Pass
602957, 1066222-003N, 1, Clearlink, 07/05/2026, 23:47:17,   7.9945, psig,   7.9835, psig,   0.0063, psig, Pass,  , Pass
602958, 1066222-003N, 1, Clearlink, 07/05/2026, 23:47:41,   7.9948, psig,   7.9833, psig,   0.0064, psig, Pass,  , Pass
602959, 1066222-003N, 1, Clearlink, 07/05/2026, 23:47:59,   7.9948, psig,   7.9842, psig,   0.0117, psig, Pass,  , Pass
602960, 1066222-003N, 1, Clearlink, 07/05/2026, 23:48:34,   7.9948, psig,   7.9838, psig,   0.0061, psig, Pass,  , Pass
602961, 1066222-003N, 1, Clearlink, 07/05/2026, 23:49:00,   7.9949, psig,   7.9841, psig,   0.0063, psig, Pass,  , Pass
602962, 1066222-003N, 1, Clearlink, 07/05/2026, 23:49:14,   7.9954, psig,   7.9842, psig,   0.0061, psig, Pass,  , Pass
602963, 1066222-003N, 1, Clearlink, 07/05/2026, 23:49:51,   7.9953, psig,   7.9845, psig,   0.0063, psig, Pass,  , Pass
602964, 1066222-003N, 1, Clearlink, 07/05/2026, 23:50:15,   7.9953, psig,   7.9742, psig,   0.0064, psig, Pass,  , Pass
602965, 1066222-003N, 1, Clearlink, 07/05/2026, 23:50:39,   7.9951, psig,   7.9797, psig,   0.0114, psig, Pass,  , Pass
602966, 1066222-003N, 1, Clearlink, 07/05/2026, 23:51:16,   7.9952, psig,   7.9838, psig,   0.0064, psig, Pass,  , Pass
602967, 1066222-003N, 1, Clearlink, 07/05/2026, 23:51:53,   7.9952, psig,   7.9845, psig,   0.0063, psig, Pass,  , Pass
602968, 1066222-003N, 1, Clearlink, 07/05/2026, 23:52:24,   7.9959, psig,   7.9851, psig,   0.0061, psig, Pass,  , Pass
602969, 1066222-003N, 1, Clearlink, 07/05/2026, 23:53:06,   7.9951, psig,   7.9840, psig,   0.0065, psig, Pass,  , Pass
602970, 1066222-003N, 1, Clearlink, 07/05/2026, 23:53:23,   7.9951, psig,   7.9848, psig,   0.0063, psig, Pass,  , Pass
602971, 1066222-003N, 1, Clearlink, 07/05/2026, 23:54:02,   7.9950, psig,   7.9786, psig,   0.0066, psig, Pass,  , Pass
602972, 1066222-003N, 1, Clearlink, 07/05/2026, 23:54:43,   7.9950, psig,   7.9840, psig,   0.0109, psig, Pass,  , Pass
602973, 1066222-003N, 1, Clearlink, 07/05/2026, 23:54:55,   7.9948, psig,   7.9791, psig,   0.0064, psig, Pass,  , Pass
602974, 1066222-003N, 1, Clearlink, 07/05/2026, 23:55:15,   7.9947, psig,   7.9843, psig,   0.0062, psig, Pass,  , Pass
602975, 1066222-003N, 1, Clearlink, 07/05/2026, 23:55:32,   7.9953, psig,   7.9842, psig,   0.0062, psig, Pass,  , Pass
602976, 1066222-003N, 1, Clearlink, 07/05/2026, 23:56:04,   7.9955, psig,   7.9848, psig,   0.0062, psig, Pass,  , Pass
602977, 1066222-003N, 1, Clearlink, 07/05/2026, 23:56:27,   7.9952, psig,   7.9788, psig,   0.0066, psig, Pass,  , Pass
602978, 1066222-003N, 1, Clearlink, 07/05/2026, 23:57:07,   7.9955, psig,   7.9843, psig,   0.0061, psig, Pass,  , Pass
602979, 1066222-003N, 1, Clearlink, 07/05/2026, 23:57:46,   7.9954, psig,   7.9842, psig,   0.0113, psig, Pass,  , Pass
602980, 1066222-003N, 1, Clearlink, 07/05/2026, 23:58:04,   7.9952, psig,   7.9841, psig,   0.0121, psig, Pass,  , Pass
602981, 1066222-003N, 1, Clearlink, 07/05/2026, 23:58:46,   7.9954, psig,   7.9797, psig,   0.0067, psig, Pass,  , Pass
602982, 1066222-003N, 1, Clearlink, 07/05/2026, 23:59:09,   7.9956, psig,   7.9846, psig,   0.0063, psig, Pass,  , Pass
602983, 1066222-003N, 1, Clearlink, 07/05/2026, 23:59:35,   7.9955, psig,   7.9843, psig,   0.0061, psig, Pass,  , Pass
602984, 1066222-003N, 1, Clearlink, 07/06/2026, 00:00:02,   7.9953, psig,   7.9846, psig,   0.0061, psig, Pass,  , Pass
